XMEAS(1),XMEAS(2),XMEAS(3),XMEAS(4),XMEAS(5),XMEAS(6),XMEAS(7),XMEAS(8),XMEAS(9),XMEAS(10),XMEAS(11),XMEAS(12),XMEAS(13),XMEAS(14),XMEAS(15),XMEAS(16),XMEAS(17),XMEAS(18),XMEAS(19),XMEAS(20),XMEAS(21),XMEAS(22),XMEAS(23),XMEAS(24),XMEAS(25),XMEAS(26),XMEAS(27),XMEAS(28),XMEAS(29),XMEAS(30),XMEAS(31),XMEAS(32),XMEAS(33),XMEAS(34),XMEAS(35),XMEAS(36),XMEAS(37),XMEAS(38),XMEAS(39),XMEAS(40),XMEAS(41),XMV(1),XMV(2),XMV(3),XMV(4),XMV(5),XMV(6),XMV(7),XMV(8),XMV(9),XMV(10),XMV(11),label
0.25,3640.00,4540.00,9.28,27.20,42.20,2700.00,75.50,120.00,0.34,80.00,51.30,2630.00,25.20,51.60,3100.00,22.80,65.70,231.00,341.00,94.70,77.40,32.20,8.89,26.40,6.88,18.80,1.66,33.00,13.80,24.00,1.26,18.60,2.26,4.84,2.30,0.02,0.84,0.10,53.70,43.80,63.40,53.60,24.70,62.30,22.20,39.70,42.00,50.20,47.40,41.10,18.40,0.00
0.25,3690.00,4510.00,9.28,27.10,42.70,2710.00,74.60,120.00,0.34,80.30,48.70,2630.00,21.90,49.20,3100.00,22.20,65.70,230.00,341.00,94.50,77.80,32.20,8.89,26.40,6.88,18.80,1.66,33.00,13.80,24.00,1.26,18.60,2.26,4.84,2.30,0.02,0.84,0.10,53.70,43.80,62.50,53.90,24.60,61.30,22.00,40.20,34.20,44.70,47.40,41.30,19.80,0.00
0.25,3680.00,4500.00,9.46,27.00,42.20,2710.00,74.30,120.00,0.34,80.20,51.90,2630.00,24.30,49.80,3100.00,22.00,65.80,229.00,341.00,94.70,77.60,32.30,8.85,25.90,6.93,19.00,1.66,32.90,13.90,23.80,1.15,18.80,2.28,4.88,2.22,0.02,0.84,0.10,53.70,43.80,62.70,54.00,24.50,60.50,21.60,40.00,43.60,46.00,47.60,41.50,20.40,0.00
0.25,3650.00,4530.00,9.35,27.00,42.70,2710.00,75.50,120.00,0.34,80.20,50.00,2630.00,24.80,48.90,3100.00,22.30,65.80,228.00,342.00,94.50,77.50,32.30,8.85,25.90,6.93,19.00,1.66,32.90,13.90,23.80,1.15,18.80,2.28,4.88,2.22,0.02,0.84,0.10,53.70,43.80,63.20,53.70,24.60,61.50,22.30,40.20,38.00,43.90,47.60,41.30,19.60,0.00
0.24,3630.00,4530.00,9.34,27.00,42.50,2710.00,75.30,120.00,0.35,80.20,48.70,2640.00,24.80,50.70,3100.00,23.40,65.80,229.00,342.00,94.60,77.40,32.10,8.78,26.50,6.77,18.60,1.67,33.10,13.90,24.40,1.28,18.20,2.29,4.80,2.24,0.02,0.84,0.10,53.70,43.80,63.20,53.30,24.00,60.80,22.50,41.00,34.20,48.00,47.60,40.90,17.10,0.00
0.24,3680.00,4490.00,9.23,26.60,42.60,2700.00,75.50,120.00,0.34,80.10,50.10,2630.00,24.10,51.30,3100.00,23.20,65.80,231.00,341.00,94.80,76.90,32.10,8.78,26.50,6.77,18.60,1.67,33.10,13.90,24.40,1.28,18.20,2.29,4.80,2.24,0.02,0.83,0.10,54.10,44.00,62.30,53.80,23.80,63.20,22.20,41.50,38.40,49.50,47.40,40.90,17.50,0.00
0.26,3710.00,4510.00,9.33,26.90,42.20,2700.00,75.20,120.00,0.35,80.00,50.10,2630.00,24.30,49.10,3100.00,23.50,65.70,229.00,342.00,94.50,77.20,32.20,8.95,26.50,6.95,19.00,1.62,33.10,13.90,23.90,1.13,18.40,2.24,4.86,2.34,0.02,0.83,0.10,54.10,44.00,63.20,54.30,25.50,62.70,22.40,41.20,38.40,44.40,47.50,40.00,16.90,0.00
0.26,3720.00,4520.00,9.35,27.10,42.40,2700.00,74.80,120.00,0.35,79.90,51.20,2630.00,27.10,51.60,3100.00,21.90,65.70,230.00,341.00,94.60,76.90,32.20,8.95,26.50,6.95,19.00,1.62,33.10,13.90,23.90,1.13,18.40,2.24,4.86,2.34,0.02,0.83,0.10,54.10,44.00,63.00,54.20,25.60,62.70,22.40,41.20,41.50,50.30,47.50,40.90,20.70,0.00
0.25,3680.00,4510.00,9.49,26.60,42.50,2700.00,75.20,120.00,0.34,80.00,51.00,2630.00,27.00,50.40,3100.00,22.70,65.70,231.00,342.00,94.60,77.50,32.40,8.92,26.40,6.89,18.40,1.67,32.70,13.80,23.90,1.15,19.00,2.27,4.76,2.23,0.02,0.83,0.10,54.10,44.00,62.20,53.40,25.20,60.30,22.30,41.00,40.90,47.50,47.40,40.30,18.70,0.00
0.26,3640.00,4480.00,9.32,27.10,42.20,2710.00,75.10,120.00,0.34,80.20,49.30,2640.00,25.90,51.50,3100.00,23.80,65.70,230.00,342.00,94.70,77.60,32.40,8.92,26.40,6.89,18.40,1.67,32.70,13.80,23.90,1.15,19.00,2.27,4.76,2.23,0.02,0.83,0.10,54.10,44.00,62.90,53.80,24.90,58.70,22.40,41.10,36.00,50.10,47.40,41.30,16.20,0.00
